ID,spk_id,path,duration
common_voice_fa_19042194,0d358649ded3baf7f476eeb2ba44fc2cfc195824b0294fcb4a2059c4e6a2e6ab1aede4dd71f5df11fb4550d6db6ee9e45244180d9692ea897afb86cc0471caa0,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_19042194.mp3,11.16
common_voice_fa_19506341,66348ea7ee1f25aae736f2347bb31854cb558a7658114088b3d001e2cc987adb2b0909ae94b8b28385647fd036dfe780173d7d1a0875be79e7a6dc9e33421ebe,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_19506341.mp3,10.8
common_voice_fa_23667633,02891c7f20efefaece0df2cce7f74e0fedb8bd47d2930a6c44b7774e277feb785e4b8ef237697c8df19bdb5f747f2582955a79073d602a21a87fc222316bff22,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_23667633.mp3,7.776
common_voice_fa_20070803,975cc87153d1e89a89b3cfaaaf86e6a22178b552bd093b155be7b5cb70cf7f545970ae4f07d657bd6d80bebc60365b108a12f6c04270349e66bed3b7d6557c87,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_20070803.mp3,10.512
common_voice_fa_18590087,81f91d8821b4a70e087c9ef13d47ae926b10990cab5c28b364bebdc1147386e5e11349a2b192ac2fe712544794dd1f867c3234172683a2c41079c499ba6a7afc,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_18590087.mp3,19.656
common_voice_fa_19249796,1404c259a38938c3767127fbf01c8f4ec7bd137a71a32141bf613ace71ece35ea8a1caf1c4f5594b2326af3c26b42bfd0bcce0486702ffcd31b2a977d74a3ee1,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_19249796.mp3,12.6
common_voice_fa_19218480,f91597e1339249fedd1c1fbb293e14bd223d6501fb9fa5f7a89ccf29ef9b194369e271d02eb1e05aaee05237ac71826963d19b4cc296fb2fa47dd96299b83b0f,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_19218480.mp3,13.464
common_voice_fa_18563057,c61c1fdf34794a97d91913ceea75425091ff68e7556c2bdcc4392c057c3c86d9d92de4029424966b07b10edd3e8f23aebb7f361f25cbcb6dd6c3675ca0dcaa07,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_18563057.mp3,9.792
common_voice_fa_20094350,08e132d1adf9e3ff20ec75f6611d5254f51108807c01b6460c0ab67f4fc458b81a2d206090b68c106fd70ba7a3475faebb2569e3efb0c2c6b18218405bcc7e39,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_20094350.mp3,7.848
common_voice_fa_24616822,d9e326521966c7d01f1a1011e73acbf0f194800788904e8d4cfcb8c13b0e1a0bb33d77be9e5e77afe6a7c88152296aaac73fc8fc4b3c77b663e371ae35705d9e,$data_root/cv-corpus-7.0-2021-07-21/fa/clips/common_voice_fa_24616822.mp3,6.84
